year,stname,numbirth_hispnativeb_nonmex,numbirth_hisp_nonmexican_nativeb,numbirth_hispforb_other,numbirth_hispforb_mex,numbirth_hisp_mexican_nativeb,numbirth_educ_miss_hispforb,numbirth_gtc_hispforb,numbirth_ba_hispforb,numbirth_somecoll_hispforb,numbirth_hsgrad_hispforb,numbirth_lesshs_hispforb,numbirth_hisp_nonnativeb3544,numbirth_hisp_nonnativeb2534,numbirth_hisp_nonnativeb2024,numbirth_hisp_nonnativeb1519,numbirth_hisp_missnativeb,numbirth_hisp_nonnativeb,numbirth_hisp_nativeb,numbirth_educ_miss_hisp_3544,numbirth_gtc_hisp_3544,numbirth_ba_hisp_3544,numbirth_somecoll_hisp_3544,numbirth_hsgrad_hisp_3544,numbirth_lesshs_hisp_3544,numbirth_educ_miss_hisp_2534,numbirth_gtc_hisp_2534,numbirth_ba_hisp_2534,numbirth_somecoll_hisp_2534,numbirth_hsgrad_hisp_2534,numbirth_lesshs_hisp_2534,numbirth_educ_miss_hisp_2024,numbirth_gtc_hisp_2024,numbirth_ba_hisp_2024,numbirth_somecoll_hisp_2024,numbirth_hsgrad_hisp_2024,numbirth_lesshs_hisp_2024,numbirth_educ_miss_hisp_1519,numbirth_gtc_hisp_1519,numbirth_ba_hisp_1519,numbirth_somecoll_hisp_1519,numbirth_hsgrad_hisp_1519,numbirth_lesshs_hisp_1519,numbirth_educ_miss_blacknh_3544,numbirth_gtc_blacknh_3544,numbirth_ba_blacknh_3544,numbirth_somecoll_blacknh_3544,numbirth_hsgrad_blacknh_3544,numbirth_lesshs_blacknh_3544,numbirth_educ_miss_blacknh_2534,numbirth_gtc_blacknh_2534,numbirth_ba_blacknh_2534,numbirth_somecoll_blacknh_2534,numbirth_hsgrad_blacknh_2534,numbirth_lesshs_blacknh_2534,numbirth_educ_miss_blacknh_2024,numbirth_gtc_blacknh_2024,numbirth_ba_blacknh_2024,numbirth_somecoll_blacknh_2024,numbirth_hsgrad_blacknh_2024,numbirth_lesshs_blacknh_2024,numbirth_educ_miss_blacknh_1519,numbirth_gtc_blacknh_1519,numbirth_ba_blacknh_1519,numbirth_somecoll_blacknh_1519,numbirth_hsgrad_blacknh_1519,numbirth_lesshs_blacknh_1519,numbirth_educ_miss_whitenh_3544,numbirth_gtc_whitenh_3544,numbirth_ba_whitenh_3544,numbirth_somecoll_whitenh_3544,numbirth_hsgrad_whitenh_3544,numbirth_lesshs_whitenh_3544,numbirth_educ_miss_whitenh_2534,numbirth_gtc_whitenh_2534,numbirth_ba_whitenh_2534,numbirth_somecoll_whitenh_2534,numbirth_hsgrad_whitenh_2534,numbirth_lesshs_whitenh_2534,numbirth_educ_miss_whitenh_2024,numbirth_gtc_whitenh_2024,numbirth_ba_whitenh_2024,numbirth_somecoll_whitenh_2024,numbirth_hsgrad_whitenh_2024,numbirth_lesshs_whitenh_2024,numbirth_educ_miss_whitenh_1519,numbirth_gtc_whitenh_1519,numbirth_ba_whitenh_1519,numbirth_somecoll_whitenh_1519,numbirth_hsgrad_whitenh_1519,numbirth_lesshs_whitenh_1519,numbirth_educ_miss_3544,numbirth_gtc_3544,numbirth_ba_3544,numbirth_somecoll_3544,numbirth_hsgrad_3544,numbirth_lesshs_3544,numbirth_educ_miss_2534,numbirth_gtc_2534,numbirth_ba_2534,numbirth_somecoll_2534,numbirth_hsgrad_2534,numbirth_lesshs_2534,numbirth_educ_miss_2024,numbirth_gtc_2024,numbirth_ba_2024,numbirth_somecoll_2024,numbirth_hsgrad_2024,numbirth_lesshs_2024,numbirth_married,numbirth_unmarried,numbirth_hisp,numbirth_blacknh,numbirth_whitenh,numbirth_educ_miss_45plus,numbirth_gtc_45plus,numbirth_ba_45plus,numbirth_somecoll_45plus,numbirth_hsgrad_45plus,numbirth_lesshs_45plus,numbirth_educ_miss_1519,numbirth_gtc_1519,numbirth_ba_1519,numbirth_somecoll_1519,numbirth_hsgrad_1519,numbirth_lesshs_1519,numbirth_educ_miss,numbirth_gtc,numbirth_ba,numbirth_somecoll,numbirth_hsgrad,numbirth_lesshs,numbirth45plus,numbirth4044,numbirth3539,numbirth3034,numbirth2529,numbirth2024,numbirth1519,state,pop,pop15,pop16,pop17,pop18,pop19,pop20,pop21,pop22,pop23,pop24,pop25,pop26,pop27,pop28,pop29,pop30,pop31,pop32,pop33,pop34,pop35,pop36,pop37,pop38,pop39,pop40,pop41,pop42,pop43,pop44,pop1519,pop2024,pop2534,pop2034,pop3544,pop45plus,popwhitenh1519,popwhitenh2024,popwhitenh2534,popwhitenh2034,popwhitenh3544,popwhitenh45plus,popblacknh1519,popblacknh2024,popblacknh2534,popblacknh2034,popblacknh3544,popblacknh45plus,pophispanic1519,pophispanic2024,pophispanic2534,pophispanic2034,pophispanic3544,pophispanic45plus,popotherrace1519,popotherrace2024,popotherrace2534,popotherrace2034,popotherrace3544,popotherrace45plus,pctpop15,pctpop16,pctpop17,pctpop18,pctpop19,pctpop20,pctpop21,pctpop22,pctpop23,pctpop24,pctpop25,pctpop26,pctpop27,pctpop28,pctpop29,pctpop30,pctpop31,pctpop32,pctpop33,pctpop34,pctpop35,pctpop36,pctpop37,pctpop38,pctpop39,pctpop40,pctpop41,pctpop42,pctpop43,pctpop44,pctpop1819,pop2045plus,popwhite1544,popblack1544,pophispanic1544,numbirth2034,numbirth3544,numbirth1544,numbirth1545plus,pop1544,brate1519,brate2034,brate3544,brate1544,numbirth_colgrad_1519,numbirth_colgrad_2024,numbirth_colgrad_2534,numbirth_colgrad_3544,numbirth_colgrad,numbirth_alleduc,numbirth_whitenhblacknhhisp,numbirth_marriedunmarried,numbirth_noorderbirth_2044,numbirth_fourthbirth_2044,numbirth_thirdbirth_2044,numbirth_secondbirth_2044,numbirth_firstbirth_2044,numbirth_noorderbirth,numbirth_fourthbirth,numbirth_thirdbirth,numbirth_secondbirth,numbirth_firstbirth
2008,WI,677,61827,685,3646,2028,34,72,180,338,1174,2528,513,2250,1166,394,8,4323,2704,9,35,77,83,156,314,19,98,264,481,925,1514,13,3,27,305,806,904,9,0,0,38,273,682,6,44,74,151,125,77,27,107,257,827,882,486,17,11,56,644,1217,644,9,0,0,98,566,875,28,1513,2630,1936,1173,285,136,4397,10463,9478,6162,1369,55,118,839,3549,5186,1406,14,0,0,253,1482,1236,59,1726,2923,2252,1531,736,201,4978,11500,11241,8425,3594,102,142,985,4798,7671,3177,45914,NA,7035,7200,53708,NA,14,25,26,20,18,34,0,0,417,2533,3057,362,6846,15408,18291,17627,7507,103,1539,7688,17454,22485,16875,6041,55,1111400,38414,39651,40263,40969,40023,39219,39199,39059,37816,36412,36287,37836,34342,34220,34014,33903,33093,32743,34205,32484,32270,34953,37579,37090,36712,36738,38012,39315,41796,42783,199320,191705,343127,534832,377248,0,158548,155259,274553,429812,320900,320900,18465,14653,26473,41126,24347,0,13274,12419,26402,38821,19092,0,9033,9374,15699,25073,12909,0,0.192725270986557,0.19893136620521545,0.20200181007385254,0.20554384589195251,0.20079770684242249,0.07332956790924072,0.07329217344522476,0.07303041219711304,0.0707063153386116,0.06808119267225266,0.06784747540950775,0.07074370980262756,0.06421081721782684,0.06398271024227142,0.06359753757715225,0.06339000165462494,0.06187550351023674,0.06122109293937683,0.063954658806324,0.06073683127760887,0.08554054796695709,0.0926525816321373,0.09961351752281189,0.09831728786230087,0.09731529653072357,0.09738421440124512,0.1007613018155098,0.10421526432037354,0.11079183965921402,0.1134081557393074,0.406341552734375,912080,909260,83938,71187,56814,9227,72082,72185,1111400,-3.4963419437408447,-2.2421698570251465,-3.710768938064575,-2.7355713844299316,0,1127,16478,4649,22254,65679,67943,NA,2,8458,11795,22447,23339,2,8529,11947,23422,28285
2009,WI,716,60689,649,3504,2051,4148,NA,NA,NA,NA,NA,570,2174,1010,387,3,4141,2766,758,0,0,0,0,0,3251,0,0,1,0,1,1893,0,0,1,0,0,1005,0,0,0,0,0,452,1,0,0,1,0,2697,1,0,1,1,0,2585,0,0,4,3,0,1511,0,0,0,1,1,7151,2,10,12,4,2,31803,15,69,71,22,5,10306,0,8,21,15,3,2827,0,0,2,6,5,8863,3,10,12,5,2,39831,18,70,75,24,6,15903,0,8,26,18,3,44522,NA,6910,7259,52359,107,NA,NA,NA,NA,NA,5782,0,0,2,7,7,64597,21,88,113,47,11,107,1526,7369,17577,22447,15958,5798,55,1103934,37759,39040,39361,40195,40709,39224,38658,38244,37215,37167,36488,36139,37980,34172,36209,35415,33289,33826,32409,34007,31834,32711,34601,37227,37678,36673,36594,37902,39512,41696,197064,190508,349934,540442,366428,0,155481,153020,279236,432256,308740,308740,18585,15054,27129,42183,24283,0,13915,12844,27326,40170,20259,0,9083,9590,16243,25833,13146,0,0.19160780310630798,0.1981082260608673,0.19973714649677277,0.20396926999092102,0.20657755434513092,0.07257763296365738,0.07153034210205078,0.07076430320739746,0.06886029988527298,0.06877148896455765,0.06751510500907898,0.0668693408370018,0.07027581334114075,0.06322972476482391,0.06699886173009872,0.06552969664335251,0.06159587949514389,0.06258951127529144,0.05996758118271828,0.06292442232370377,0.08687654882669449,0.08926992118358612,0.09442782402038574,0.10159431397914886,0.1028251126408577,0.10008241981267929,0.0998668223619461,0.1034364178776741,0.10783018916845322,0.11379043012857437,0.41054683923721313,906870,896477,85051,74344,55982,8895,70675,70782,1103934,-3.526015520095825,-2.267357110977173,-3.7183127403259277,-2.7485435009002686,0,8,88,13,109,280,66528,NA,53,8576,11627,21945,22676,58,8643,11769,22874,27438
2010,WI,696,58729,596,3233,1992,3809,NA,1,5,3,3,574,2054,867,321,18,3816,2687,742,0,2,3,0,0,3158,0,3,8,6,2,1746,0,0,3,4,1,841,0,0,1,1,0,490,2,0,3,0,1,2514,0,0,6,4,4,2457,0,1,2,5,3,1337,0,0,0,2,2,6816,15,32,31,9,1,31474,47,121,131,44,10,9606,0,12,38,22,6,2507,0,0,5,8,7,8564,19,34,37,10,2,39204,49,126,148,54,16,14872,0,13,43,31,10,43267,NA,6521,6833,50942,96,NA,NA,1,1,NA,5074,0,0,6,11,9,62640,68,173,228,95,28,98,1477,7189,18032,21565,14969,5100,55,1096251,37162,38318,38857,39438,40701,40128,38731,37772,36302,36408,37029,36073,36496,36849,36528,37283,34907,34006,33529,32411,33111,32177,32505,34275,37375,37887,36469,36493,37922,39109,194476,189341,355111,544452,357323,0,152539,150533,282703,433236,298293,298293,18397,15737,27597,43334,24325,0,14579,13272,27846,41118,21433,0,8961,9799,16965,26764,13272,0,0.19108784198760986,0.19703201949596405,0.19980357587337494,0.20279109477996826,0.20928546786308289,0.07370346784591675,0.07113758474588394,0.06937617808580399,0.06667621433734894,0.06687090545892715,0.06801150739192963,0.0662556141614914,0.06703253835439682,0.06768089532852173,0.06709131598472595,0.06847803294658661,0.06411401182413101,0.06245913356542587,0.0615830235183239,0.05952958017587662,0.09266406297683716,0.09005017578601837,0.09096811711788177,0.09592162072658539,0.10459724068641663,0.10603012144565582,0.10206171870231628,0.10212888568639755,0.10612806677818298,0.10944999009370804,0.41207656264305115,901775,884068,86056,77130,54566,8666,68332,68430,1096251,-3.64106822013855,-2.3003687858581543,-3.7192327976226807,-2.775273323059082,0,13,175,53,241,592,64296,NA,15,8357,11289,21225,22346,16,8419,11404,22056,26535
2011,WI,829,58081,702,3159,1815,21,74,175,404,1097,2086,563,2124,862,304,11,3853,2644,3,49,67,127,148,337,17,101,284,621,927,1319,12,1,27,357,738,630,4,0,0,44,264,431,6,44,48,169,115,65,23,97,200,954,814,476,12,4,27,746,1071,519,3,0,0,93,391,683,43,1471,2219,1984,840,326,207,4311,10422,10385,5364,1360,55,18,592,3451,4013,1098,20,0,0,254,1108,891,60,1696,2446,2386,1202,812,309,4934,11438,12500,7563,3417,100,27,695,4854,6335,2401,42748,NA,6508,6560,50432,3,13,18,12,12,16,31,0,0,416,1898,2159,469,6657,14579,19740,15100,6630,74,1483,7119,18465,21696,14412,4504,55,1091587,36651,37066,38356,39227,42053,40991,40076,37926,35964,34737,35693,36840,35902,36572,36953,36496,37368,34985,34094,33591,32365,33088,32079,32483,34263,37286,37828,36412,36402,37840,193353,189694,358494,548188,350046,0,151719,149151,284547,433698,289901,289901,17869,16809,28035,44844,24341,0,14937,13495,28025,41520,22295,0,8828,10239,17887,28126,13509,0,0.1895548552274704,0.19170118868350983,0.19837293028831482,0.20287764072418213,0.21749339997768402,0.07477544248104095,0.0731063038110733,0.06918429583311081,0.06560523062944412,0.06336694955825806,0.06511087715625763,0.06720322370529175,0.06549213081598282,0.0667143389582634,0.06740935891866684,0.06657569855451584,0.06816639751195908,0.06381934881210327,0.06219399347901344,0.061276424676179886,0.09245927631855011,0.09452471882104874,0.09164223819971085,0.09279637783765793,0.09788142144680023,0.10651742666959763,0.10806579887866974,0.1040206179022789,0.1039920449256897,0.10810007899999619,0.42037105560302734,898234,875318,87054,78752,54573,8602,67679,67753,1091587,-3.759551525115967,-2.3070790767669678,-3.7060699462890625,-2.780611991882324,0,722,16372,4142,21236,62706,63500,NA,53,8372,11159,21254,22337,54,8416,11256,21976,26051
2012,WI,838,57453,702,2991,2016,23,88,142,374,1161,1902,639,1925,836,284,19,3684,2854,8,73,72,130,193,368,16,100,245,618,942,1195,5,1,19,388,797,617,7,0,0,45,253,465,7,42,73,178,127,95,23,99,208,1045,816,507,14,2,35,812,1072,498,11,0,0,96,383,534,16,1502,2234,1910,855,323,61,4361,10491,10450,5104,1348,37,27,611,3439,3735,1057,11,0,0,253,1021,787,38,1792,2509,2323,1260,859,145,5035,11498,12708,7371,3331,61,43,721,4914,6061,2321,42096,NA,6557,6677,49633,3,21,26,28,12,15,30,0,0,419,1793,1917,244,6870,14728,19945,14692,6511,105,1492,7289,18757,21331,14121,4159,55,1088172,36721,36631,37138,38719,41736,42483,41014,39302,36090,34446,34257,35470,36580,35935,36614,36908,36580,37344,34998,34115,33512,32411,33088,32009,32451,34195,37178,37688,36293,36266,190945,193335,358801,552136,345091,0,149484,151032,283717,434749,283828,283828,17360,17681,28377,46058,24280,0,15384,13940,27943,41883,23135,0,8717,10682,18764,29446,13848,0,0.19231192767620087,0.19184058904647827,0.1944957971572876,0.20277567207813263,0.21857602894306183,0.07694300264120102,0.07428242266178131,0.07118173688650131,0.06536433100700378,0.062386803328990936,0.062044497579336166,0.06424141675233841,0.06625179201364517,0.06508360058069229,0.06631337106227875,0.0668458491563797,0.06625179201364517,0.06763550639152527,0.06338655948638916,0.06178731471300125,0.09711061418056488,0.09392015635967255,0.09588195383548737,0.09275524318218231,0.09403606504201889,0.09908980876207352,0.10773390531539917,0.10921177268028259,0.10516936331987381,0.10509111732244492,0.42135170102119446,897227,868061,87698,80402,54209,8781,67149,67254,1088172,-3.8267107009887695,-2.3209474086761475,-3.671217918395996,-2.7853405475616455,0,764,16533,4301,21598,62746,62867,NA,39,8573,11099,21255,22024,42,8630,11187,21851,25544
2013,WI,850,57157,675,2676,2180,11,74,160,378,1054,1673,610,1776,718,239,4,3343,3029,1,65,81,123,170,384,12,112,300,714,893,1057,6,0,34,429,765,522,5,0,0,35,258,410,9,53,72,194,101,79,29,91,234,1040,876,481,17,4,40,782,1178,463,8,0,0,68,351,516,18,1549,2365,1933,808,321,90,4444,10511,10452,5188,1277,24,18,573,3249,3683,985,9,0,0,199,932,649,43,1824,2645,2373,1156,854,167,5093,11569,12800,7501,3105,56,28,689,4719,6073,2119,41908,NA,6376,6686,49277,NA,18,33,21,14,18,24,0,0,322,1654,1692,266,6945,14903,19892,14730,6078,104,1399,7496,19311,20924,13684,3692,55,1087586,36576,36727,36716,37735,41335,42197,42519,40215,37663,34599,33936,34137,35199,36683,36058,36699,36998,36540,37419,35025,34121,33603,32387,33039,32006,32386,34132,37048,37695,36193,189089,197193,358694,555887,342610,0,147259,153459,282367,435826,280065,280065,17069,18109,28891,47000,24160,0,15957,14326,27876,42202,24015,0,8804,11299,19560,30859,14370,0,0.19343271851539612,0.1942312866449356,0.19417311251163483,0.19956211745738983,0.21860076487064362,0.07590930908918381,0.07648856937885284,0.0723438411951065,0.06775297969579697,0.06224106624722481,0.06104837730526924,0.06140996143221855,0.06332042068243027,0.06599003076553345,0.06486570090055466,0.06601881235837936,0.06655669212341309,0.06573278456926346,0.067314043641090393,0.0630074068903923,0.09959137439727783,0.09807945042848587,0.09453022480010986,0.09643325954675674,0.0934181734919548,0.09452730417251587,0.09962347894906998,0.10813461244106293,0.11002305895090103,0.10563906282186508,0.41816288232803345,898497,863150,88229,82174,53919,8895,66506,66610,1087586,-3.936049461364746,-2.3330821990966797,-3.6511034965515137,-2.7944235801696777,0,717,16662,4469,21848,62548,62339,NA,107,8515,11285,20991,21916,112,8574,11357,21494,25073
2014,WI,1330,58124,425,2659,1948,16,74,168,350,957,1519,632,1692,582,172,10,3078,3277,6,74,95,140,172,393,9,106,322,751,939,1035,10,2,34,392,805,446,3,0,0,39,244,348,7,63,68,196,134,85,22,90,205,1163,959,472,18,5,28,660,1129,474,6,0,0,47,318,433,17,1633,2272,2058,831,346,70,4364,10767,10411,5000,1289,21,22,527,3059,3632,905,6,0,0,205,795,564,42,1952,2572,2540,1249,900,129,5064,11930,13157,7570,3124,57,40,648,4495,6176,2019,41683,NA,6365,6582,48794,1,13,28,18,8,15,18,0,0,322,1525,1513,228,7056,15150,20192,14995,6043,83,1425,7830,19901,21073,13435,3378,55,1086930,36701,36643,36790,37196,40294,41609,42208,41982,38584,36018,34132,33750,33885,35364,36787,36112,36848,37017,36577,37438,35036,34152,33654,32304,33032,31889,32348,34024,37018,37538,187624,200401,357910,558311,340995,0,145328,155635,280149,435784,276912,276912,16927,18418,29452,47870,24392,0,16495,14689,27794,42483,24799,0,8874,11659,20515,32174,14892,0,0.19560930132865906,0.1953001767396927,0.1960836499929428,0.19824755191802979,0.21475930511951447,0.07452656328678131,0.07559943944215775,0.07519464939832687,0.06910843402147293,0.06451243162155151,0.06113438680768013,0.060450177639722824,0.06069197878241539,0.06334104388952255,0.06588979810476303,0.0646807998418808,0.06599906086921692,0.06630175560712814,0.06551366299390793,0.06705581396818161,0.1027463749051094,0.10015396028757095,0.09869352728128433,0.09473452717065811,0.09686945378780365,0.0935174971818924,0.09486356377601624,0.09977859258651733,0.1085587739944458,0.11008372902870178,0.41300684213638306,899306,858024,89189,83777,54409,9255,67042,67125,1086930,-4.01715612411499,-2.3283865451812744,-3.606703758239746,-2.7857933044433594,0,688,16994,4524,22206,63436,61741,NA,85,8854,11414,21344,21967,91,8893,11485,21841,24815
2015,WI,1027,57433,779,2653,2129,22,75,181,502,1095,1556,708,1829,712,169,10,3418,3156,8,72,98,188,186,435,20,97,317,830,956,983,11,1,41,458,854,437,1,0,0,38,258,295,8,62,67,183,149,96,24,122,205,1168,981,499,12,1,34,672,1136,428,5,0,0,33,283,413,25,1689,2429,2070,801,352,67,4183,10918,10541,4999,1303,30,21,499,2904,3297,854,6,0,0,160,689,520,53,2022,2758,2611,1257,962,136,4908,12139,13449,7626,3084,59,29,636,4385,5822,1934,41856,NA,6584,6581,48357,1,18,23,28,8,18,15,0,0,259,1379,1387,248,6959,15533,20445,14705,5980,96,1436,8227,20203,21139,12865,3040,55,1084088,37168,36626,36606,37217,39651,40459,41586,41713,40254,36867,35487,33972,33463,34019,35478,36900,36145,36776,37060,36506,37288,35068,34082,33600,32260,32914,31821,32244,33928,36930,187268,200879,355806,556685,340135,0,144088,155821,276513,432334,274555,274555,16964,18160,30062,48222,24591,0,17222,15041,27723,42764,25565,0,8994,11857,21508,33365,15424,0,0.1984749138355255,0.19558066129684448,0.19547386467456818,0.19873656332492828,0.21173398196697235,0.07267844676971436,0.0747029259800911,0.0749310627579689,0.0723101943731308,0.06622596085071564,0.06374700367450714,0.06102553382515907,0.06011119484901428,0.061109963804483414,0.06373083591461182,0.06628524512052536,0.06492900103330612,0.06606249511241913,0.0665726587176323,0.06557748466730118,0.10962706059217453,0.1031002402305603,0.10020139068365097,0.09878430515527725,0.09484469145536423,0.09676746279001236,0.09355402737855911,0.09479765594005585,0.0997486263513565,0.10857453942298889,0.41047054529190063,896820,850977,89777,85551,54207,9663,66910,67006,1084088,-4.120683193206787,-2.3291895389556885,-3.5610384941101074,-2.7851459980010986,0,665,17047,4780,22492,63622,61522,NA,80,9132,11425,21519,21714,84,9168,11496,21972,24286
2016,WI,1108,57075,801,2443,2136,27,70,204,430,1095,1417,685,1729,654,172,7,3240,3242,6,80,112,154,211,409,27,110,335,819,1023,918,8,2,20,431,799,445,6,0,0,30,236,308,9,56,64,218,155,101,26,105,229,1165,1158,446,29,1,30,569,1097,388,3,0,0,36,289,381,19,1780,2608,2082,811,346,96,4330,11096,10381,4992,1240,28,15,440,2574,3111,796,5,0,0,132,624,430,47,2109,2955,2623,1307,943,189,5108,12408,13258,7916,2934,73,23,541,3931,5529,1817,41750,NA,6489,6555,47936,1,16,23,10,10,14,18,0,0,219,1296,1275,309,7240,15904,19812,14752,5694,74,1407,8577,20730,21083,11914,2808,55,1081705,36543,37214,36702,36921,39480,39639,40334,41157,40062,38410,36308,35414,33753,33634,34190,35557,37034,36225,36776,37045,36463,37328,35031,34067,33653,32186,32906,31723,32175,33775,186860,199602,355936,555538,339307,0,142688,154943,274510,429453,272492,272492,16936,17442,31025,48467,24582,0,18089,15419,27893,43312,26320,0,9147,11798,22508,34306,15913,0,0.19556352496147156,0.19915445148944855,0.19641442596912384,0.19758643209934235,0.2112811803817749,0.07135245203971863,0.0726034939289093,0.07408493757247925,0.07211387902498245,0.06914018839597702,0.06535646319389343,0.06374721229076385,0.06075732037425041,0.060543112456798553,0.06154394522309303,0.06400462239980698,0.06666330993175507,0.06520706415176392,0.06619889289140701,0.06668310612440109,0.10746315121650696,0.1100124642252922,0.10324278473854065,0.10040169954299927,0.09918157011270523,0.09485805034637451,0.096980020403862,0.0934935063123703,0.0948256328701973,0.09954112023115158,0.40886759757995605,894845,844633,89985,87721,53727,9984,66519,66593,1081705,-4.197887420654297,-2.3360214233398438,-3.525921583175659,-2.788806200027466,0,564,17516,5064,23144,63402,60980,NA,81,9187,11672,21392,21379,90,9227,11727,21785,23764
2017,WI,1069,55636,841,2244,2201,28,81,220,484,1070,1201,655,1619,632,166,8,3072,3270,7,70,113,185,229,366,26,123,377,847,1029,768,7,1,45,414,820,389,1,0,0,21,220,292,9,71,65,232,175,91,42,90,254,1220,1300,471,25,1,31,554,1158,397,12,0,0,29,277,342,21,1820,2596,2031,868,374,78,4087,10798,9777,4851,1234,24,15,440,2324,2943,863,6,0,0,109,569,412,53,2176,2979,2625,1363,922,193,4800,12200,12704,7900,2782,70,20,563,3610,5503,1836,40377,NA,6350,6846,46240,1,15,21,19,17,15,21,0,0,170,1193,1180,316,6996,15742,18939,14766,5540,88,1501,8617,20217,20362,11602,2564,55,1083387,35979,36611,37310,36978,39049,39640,39580,39973,39597,38371,37820,36314,35404,33841,33918,34323,35713,37170,36332,36888,37077,36638,37290,35001,34094,33575,32201,32820,31745,32135,185927,197161,357723,554884,342576,0,140843,152741,274080,426821,274423,274423,16846,16932,32061,48993,24611,0,18862,15809,28213,44022,26919,0,9376,11679,23369,35048,16623,0,0.19351142644882202,0.19691061973571777,0.20067015290260315,0.1988845020532608,0.21002328395843506,0.07143835723400116,0.071330226957798,0.07203847914934158,0.07136086374521255,0.0691513866186142,0.06815838813781738,0.06544430553913116,0.06380432844161987,0.06098752096295357,0.061126288026571274,0.06185617297887802,0.06436119973659515,0.06698697060346603,0.06547674536705017,0.06647875905036926,0.10823000222444534,0.10694853216409683,0.10885176062583923,0.10217002779245377,0.09952244162559509,0.0980074480175972,0.09399665892124176,0.09580355882644653,0.09266556799411774,0.0938040018081665,0.40890777111053467,897460,842087,90450,89803,52181,10118,64863,64951,1083387,-4.283785820007324,-2.3640406131744385,-3.5221774578094482,-2.815570116043091,0,583,17000,5155,22738,61983,59436,NA,138,9219,11537,20688,20717,146,9266,11589,21073,22877
2018,WI,1135,54726,971,2040,2201,31,92,241,476,1052,1119,689,1644,556,116,9,3005,3334,19,72,116,174,253,361,29,115,388,888,1088,741,13,3,40,394,801,343,6,0,0,27,208,269,13,76,92,233,193,103,39,98,217,1145,1312,486,20,3,23,410,1128,392,14,0,0,34,269,298,31,1868,2706,2094,894,375,97,4054,10730,9365,4924,1176,26,14,392,2120,2884,836,5,0,0,66,542,396,79,2229,3136,2692,1492,943,209,4785,12060,12265,8044,2721,68,24,500,3236,5355,1746,40056,NA,6348,6598,45595,1,11,21,25,9,15,26,0,0,149,1135,1096,356,7038,15696,18193,14891,5410,82,1547,9024,20273,19811,10929,2406,55,1086345,35864,36000,36741,37389,39186,39445,39703,39118,38057,38016,37687,37552,36035,35520,34120,34015,34557,35854,37330,36408,36948,37187,36712,37421,35107,34035,33584,32143,32854,31757,185180,194339,359078,553417,347748,0,139667,149969,273886,423855,277916,277916,16567,16663,32732,49395,24980,0,19513,16524,28766,45290,27712,0,9433,11183,23694,34877,17140,0,0.19367101788520813,0.1944054365158081,0.19840694963932037,0.2019062489271164,0.2116103321313858,0.07127536833286285,0.07174155861139297,0.07068449258804321,0.06876730918884277,0.06869322806596756,0.06809873878955841,0.06785479933023453,0.06511364877223969,0.0641830638051033,0.06165332719683647,0.061463598161935806,0.06244296953082085,0.06478659063577652,0.06745365262031555,0.06578764319419861,0.1062493547797203,0.10693663358688354,0.1055707037448883,0.10760953277349472,0.1009552925825119,0.09787259995937347,0.09657568484544754,0.09243187308311462,0.09447646141052246,0.09132187813520432,0.4135165810585022,901165,841438,90942,92515,51013,10571,63990,64072,1086345,-4.343362808227539,-2.384031295776367,-3.493363618850708,-2.8318471908569336,0,524,16845,5365,22734,61228,58541,NA,546,9306,11170,20173,20389,578,9344,11214,20517,22419
2019,WI,1126,54054,943,1984,2381,27,78,228,503,1067,1023,621,1562,601,131,18,2915,3506,9,69,116,183,211,339,21,128,387,922,1145,679,23,3,47,412,865,357,5,0,0,34,237,247,20,81,66,258,210,128,64,112,251,1198,1462,447,37,2,15,401,1094,354,9,0,0,25,300,310,37,1923,2739,2026,879,369,93,4080,10791,8975,4706,1194,29,17,376,2005,2699,854,7,0,0,87,488,340,82,2294,3113,2675,1422,925,216,4803,12134,11908,8100,2614,103,26,483,3069,5124,1742,39365,NA,6439,6844,44714,2,14,26,27,10,19,27,0,0,160,1136,995,401,7123,15730,17652,14646,5281,98,1574,8937,20263,19512,10547,2318,55,1089703,36355,35937,36124,36828,39573,39491,39413,39240,37404,36251,37280,37475,37410,36223,35711,34266,34260,34729,35921,37440,36487,37042,37158,36735,37477,35025,34023,33562,32096,32767,184817,191799,360715,552514,352372,0,138563,147595,274126,421721,281037,281037,16443,16329,33379,49708,25330,0,20261,17018,29385,46403,28149,0,9550,10857,23825,34682,17856,0,0.1967080980539322,0.19444639980793,0.19545820355415344,0.19926738739013672,0.21411991119384766,0.07147511094808578,0.07133393734693527,0.07102082669734955,0.06769783049821854,0.06561100482940674,0.067473404109478,0.06782633811235428,0.06770869344472885,0.06556032598018646,0.06463366001844406,0.06201833859086037,0.06200747936964035,0.06285632401704788,0.06501373648643494,0.06776298582553864,0.10354682058095932,0.10512185841798782,0.1054510548710823,0.10425062477588654,0.10635635256767273,0.09939779341220856,0.0965542122721672,0.09524593502283096,0.09108556061983109,0.09298979490995407,0.4133872985839844,904886,841321,91481,94813,50322,10511,63151,63249,1089703,-4.378661632537842,-2.396036386489868,-3.512265205383301,-2.8481318950653076,0,509,16937,5407,22853,60432,57997,NA,194,9457,10940,20097,20145,207,9506,10986,20450,22100
