year,parental,delay,sexed,sexedcont,stname,unemp,contmand,aca_mcaid_exp,logben3,tadexpmil,logrstateminwage,sexed1mis,sexed2mis,pctwhitenh,pcthisp,pcthsdrop,pcthsgrad,pctsomecol,pctmarried
2017,0,0,1,1,CA,4.800000190734863,1,1,6.550095558166504,969.43487548828125,2.1693193912506104,0,0,45.164825439453125,32.07340621948242,17.052448272705078,22.822187423706055,27.187253952026367,52.20330047607422
2018,0,0,1,1,CA,4.300000190734863,1,1,6.52596378326416,981.943603515625,2.2404983043670654,0,0,44.406883239746094,32.924861907958984,16.387521743774414,22.83343505859375,27.124309539794922,50.960357666015625
2019,0,0,1,1,CA,4,1,1,6.603430271148682,1003.007568359375,2.3095521926879883,0,0,43.95219802856445,32.8786506652832,16.258501052856445,22.984394073486328,26.569440841674805,50.76457595825195
2001,1,0,0,0,CO,3.799999952316284,0,0,6.0666985511779785,60.87655258178711,1.8307644128799438,0,0,80.03509521484375,14.018327713012695,15.227140426635742,25.326574325561523,28.446090698242188,57.57457733154297
2002,1,0,0,0,CO,5.699999809265137,0,0,6.05101203918457,63.34596252441406,1.8150779008865356,0,0,78.44420623779297,15.51225471496582,16.760541915893555,26.351043701171875,25.909576416015625,57.05586624145508
2003,1,0,0,0,CO,6.099999904632568,0,0,6.028477191925049,72.0677261352539,1.7925432920455933,0,0,76.001190185546875,16.79026985168457,15.218036651611328,26.638978958129883,26.446157455444336,58.142982482910156
2004,1,0,0,0,CO,5.599999904632568,0,0,6.002195358276367,69.830657958984375,1.7662612199783325,0,0,75.48192596435547,17.5,15.316265106201172,25.557228088378906,27.379518508911133,56.490962982177734
2005,1,0,0,0,CO,5.099999904632568,0,0,5.968875885009766,72.81441497802734,1.7329421043395996,0,0,76.3246078491211,16.823993682861328,14.342266082763672,24.375761032104492,29.339221954345703,57.414737701416016
2006,1,0,0,0,CO,4.300000190734863,0,0,5.937127590179443,72.140411376953125,1.7011934518814087,0,0,76.19047546386719,16.132478713989258,14.636752128601074,24.55738639831543,28.617216110229492,57.768619537353516
2007,1,0,1,1,CO,3.700000047683716,0,0,5.909043312072754,71.7344970703125,1.958361268043518,0,0,75.72053527832031,16.960918426513672,14.440922737121582,23.57024383544922,28.2178955078125,56.828128814697266
2008,1,0,1,1,CO,4.800000190734863,0,0,5.871366500854492,74.67797088623047,1.9451991319656372,0,0,75.23998260498047,17.126314163208008,12.920920372009277,24.196250915527344,27.548377990722656,57.900352478027344
2009,1,0,1,1,CO,8.300000190734863,0,0,6.135564804077148,68.86193084716797,1.9851309061050415,0,0,76.25291442871094,15.879953384399414,12.339743614196777,24.286130905151367,27.054195404052734,57.88169860839844
2010,1,0,1,1,CO,8.699999809265137,0,0,6.119295120239258,75.39640808105469,1.9633514881134033,0,0,75.81021881103516,16.40876007080078,13.036497116088867,23.79561996459961,26.277372360229492,57.124088287353516
2011,1,0,1,1,CO,8.399999618530273,1,0,6.088217735290527,72.0235366821289,1.948712944984436,0,0,75.743804931640625,15.858126640319824,12.164737701416016,24.461380004882812,28.286678314208984,56.29488754272461
2012,1,0,1,1,CO,7.900000095367432,1,0,6.067734718322754,77.82801055908203,1.9655673503875732,0,0,75.5728530883789,16.400056838989258,11.745207786560059,23.850698471069336,28.894655227661133,54.57558822631836
2013,1,0,1,1,CO,6.900000095367432,1,0,6.053193092346191,78.270050048828125,1.9691846370697021,0,0,74.67816925048828,17.03211212158203,12.066770553588867,22.577449798583984,28.391569137573242,55.07143783569336
2014,1,0,1,1,CO,5,1,1,6.037101745605469,70.23735809326172,1.98097825050354,0,0,77.67900085449219,13.20844554901123,11.874900817871094,22.622638702392578,27.51230239868164,54.83409881591797
2015,1,0,1,1,CO,3.9000000953674316,1,1,6.035915374755859,73.24214172363281,2.00813627243042,0,0,78.712982177734375,12.53618335723877,11.066577911376953,24.048095703125,26.809175491333008,55.66688919067383
2016,1,0,1,1,CO,3.299999952316284,1,1,6.023378849029541,77.60936737060547,2.0052738189697266,0,0,77.985076904296875,13.539445877075195,9.674839973449707,24.65351676940918,27.398719787597656,53.14499282836914
2017,1,0,1,1,CO,2.799999952316284,1,1,6.0022993087768555,82.09040832519531,2.0967488288879395,0,0,77.26558685302734,14.667365074157715,9.769513130187988,23.153484344482422,27.632266998291016,53.981143951416016
2018,1,0,1,1,CO,3.200000047683716,1,1,5.97816801071167,83.50029754638672,2.1649906635284424,0,0,77.73344421386719,13.9398775100708,10.428305625915527,20.830007553100586,26.602819442749023,54.64219284057617
